[warn] --hard_sparse_forward enables sparse-z-as-x mode. This is NOT pure ELSA and is known to be worse at 80%+ sparsity. Consider dropping the flag.
====================================================================================================
Windowed ELSA / ELSA-L ADMM Sparsification
====================================================================================================
Model id             : mistralai/Mistral-7B-Instruct-v0.3
step=000031 pass=1/4 win=1/16 local=32/128 lm=3.56939 ppl~35.50 kd=4.9756 pen=5.71655e-04 lambda=5.000e-05 lr=6.976e-05 gnorm=7.000e-01 admm_rms=2.290e-04 upd_rms=1.691e-01 time=3.70s cuda=[alloc=20.02GB reserved=28.28GB max=30.56GB]

  ADMM projection update...
    [1/14] model.layers.0.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=6.1005e-04 proj=fisher
    [2/14] model.layers.0.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.0493e-03 proj=fisher
    [3/14] model.layers.0.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=5.1050e-04 proj=fisher
    [4/14] model.layers.0.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=1.2032e-03 proj=fisher
    [5/14] model.layers.0.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.0462e-03 proj=fisher
    [6/14] model.layers.0.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.1250e-03 proj=fisher
    [7/14] model.layers.0.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=8.8753e-04 proj=fisher
    [8/14] model.layers.1.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=7.1177e-04 proj=fisher
    [9/14] model.layers.1.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.4058e-03 proj=fisher
    [10/14] model.layers.1.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=7.6484e-04 proj=fisher
    [11/14] model.layers.1.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=1.6752e-03 proj=fisher
    [12/14] model.layers.1.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.1386e-03 proj=fisher
    [13/14] model.layers.1.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.3382e-03 proj=fisher
    [14/14] model.layers.1.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=7.6543e-04 proj=fisher
  projection done: sparsity=80.00% mask_drift=0.113% elapsed=41s
step=000032 pass=1/4 win=1/16 local=33/128 lm=3.33297 ppl~28.02 kd=4.8950 pen=5.49548e-04 lambda=5.000e-05 lr=6.975e-05 gnorm=7.000e-01 admm_rms=2.245e-04 upd_rms=1.705e-01 time=2.57s cuda=[alloc=20.02GB reserved=40.64GB max=30.56GB]
step=000033 pass=1/4 win=1/16 local=34/128 lm=3.53704 ppl~34.37 kd=5.3520 pen=5.72369e-04 lambda=5.000e-05 lr=6.975e-05 gnorm=7.000e-01 admm_rms=2.291e-04 upd_rms=1.749e-01 time=3.57s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000034 pass=1/4 win=1/16 local=35/128 lm=3.53498 ppl~34.29 kd=5.1303 pen=5.95390e-04 lambda=5.000e-05 lr=6.974e-05 gnorm=7.000e-01 admm_rms=2.337e-04 upd_rms=1.737e-01 time=3.03s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000035 pass=1/4 win=1/16 local=36/128 lm=3.24834 ppl~25.75 kd=4.6907 pen=6.19551e-04 lambda=5.000e-05 lr=6.973e-05 gnorm=7.000e-01 admm_rms=2.384e-04 upd_rms=1.751e-01 time=3.57s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000036 pass=1/4 win=1/16 local=37/128 lm=3.21230 ppl~24.84 kd=4.9755 pen=6.43571e-04 lambda=5.000e-05 lr=6.972e-05 gnorm=7.000e-01 admm_rms=2.429e-04 upd_rms=1.741e-01 time=3.05s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000037 pass=1/4 win=1/16 local=38/128 lm=3.51904 ppl~33.75 kd=5.1147 pen=6.68669e-04 lambda=5.000e-05 lr=6.972e-05 gnorm=7.000e-01 admm_rms=2.476e-04 upd_rms=1.730e-01 time=3.64s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000038 pass=1/4 win=1/16 local=39/128 lm=3.45398 ppl~31.63 kd=4.6902 pen=6.94474e-04 lambda=5.000e-05 lr=6.971e-05 gnorm=7.000e-01 admm_rms=2.524e-04 upd_rms=1.734e-01 time=3.05s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000039 pass=1/4 win=1/16 local=40/128 lm=3.47455 ppl~32.28 kd=4.9128 pen=7.20355e-04 lambda=5.000e-05 lr=6.970e-05 gnorm=7.000e-01 admm_rms=2.570e-04 upd_rms=1.737e-01 time=3.64s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000040 pass=1/4 win=1/16 local=41/128 lm=3.34749 ppl~28.43 kd=4.6267 pen=7.46415e-04 lambda=5.000e-05 lr=6.969e-05 gnorm=7.000e-01 admm_rms=2.616e-04 upd_rms=1.762e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000041 pass=1/4 win=1/16 local=42/128 lm=3.45193 ppl~31.56 kd=4.7635 pen=7.71153e-04 lambda=5.000e-05 lr=6.968e-05 gnorm=7.000e-01 admm_rms=2.659e-04 upd_rms=1.753e-01 time=3.64s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000042 pass=1/4 win=1/16 local=43/128 lm=3.39509 ppl~29.82 kd=5.0247 pen=7.96897e-04 lambda=5.000e-05 lr=6.968e-05 gnorm=7.000e-01 admm_rms=2.703e-04 upd_rms=1.750e-01 time=3.09s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000043 pass=1/4 win=1/16 local=44/128 lm=3.53630 ppl~34.34 kd=4.7032 pen=8.23196e-04 lambda=5.000e-05 lr=6.967e-05 gnorm=7.000e-01 admm_rms=2.747e-04 upd_rms=1.714e-01 time=3.65s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000044 pass=1/4 win=1/16 local=45/128 lm=3.01969 ppl~20.48 kd=4.2298 pen=8.50365e-04 lambda=5.000e-05 lr=6.966e-05 gnorm=7.000e-01 admm_rms=2.792e-04 upd_rms=1.729e-01 time=3.07s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000045 pass=1/4 win=1/16 local=46/128 lm=3.22251 ppl~25.09 kd=4.8221 pen=8.77042e-04 lambda=5.000e-05 lr=6.965e-05 gnorm=7.000e-01 admm_rms=2.836e-04 upd_rms=1.713e-01 time=3.68s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]
step=000046 pass=1/4 win=1/16 local=47/128 lm=3.39562 ppl~29.83 kd=4.8057 pen=9.04519e-04 lambda=5.000e-05 lr=6.965e-05 gnorm=7.000e-01 admm_rms=2.880e-04 upd_rms=1.714e-01 time=3.10s cuda=[alloc=20.02GB reserved=46.89GB max=30.56GB]
step=000047 pass=1/4 win=1/16 local=48/128 lm=3.38462 ppl~29.51 kd=4.6330 pen=9.31781e-04 lambda=5.000e-05 lr=6.964e-05 gnorm=7.000e-01 admm_rms=2.923e-04 upd_rms=1.731e-01 time=3.68s cuda=[alloc=20.02GB reserved=26.25GB max=30.56GB]

  ADMM projection update...
    [1/14] model.layers.0.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=7.2126e-04 proj=fisher
    [2/14] model.layers.0.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=9.8935e-04 proj=fisher
    [3/14] model.layers.0.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=6.1906e-04 proj=fisher
    [4/14] model.layers.0.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=1.4640e-03 proj=fisher
    [5/14] model.layers.0.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.1656e-03 proj=fisher
    [6/14] model.layers.0.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.2662e-03 proj=fisher
    [7/14] model.layers.0.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.0181e-03 proj=fisher
    [8/14] model.layers.1.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=7.9324e-04 proj=fisher
    [9/14] model.layers.1.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.4488e-03 proj=fisher
    [10/14] model.layers.1.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=8.5840e-04 proj=fisher
    [11/14] model.layers.1.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=2.1056e-03 proj=fisher
    [12/14] model.layers.1.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.4023e-03 proj=fisher
    [13/14] model.layers.1.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.6117e-03 proj=fisher
    [14/14] model.layers.1.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=9.8228e-04 proj=fisher
  projection done: sparsity=80.00% mask_drift=0.111% elapsed=41s
step=000048 pass=1/4 win=1/16 local=49/128 lm=3.23277 ppl~25.35 kd=4.9658 pen=9.12415e-04 lambda=5.000e-05 lr=6.963e-05 gnorm=7.000e-01 admm_rms=2.893e-04 upd_rms=1.726e-01 time=2.99s cuda=[alloc=20.02GB reserved=46.66GB max=30.56GB]
step=000049 pass=1/4 win=1/16 local=50/128 lm=3.30973 ppl~27.38 kd=4.4125 pen=9.36140e-04 lambda=5.000e-05 lr=6.962e-05 gnorm=7.000e-01 admm_rms=2.930e-04 upd_rms=1.733e-01 time=3.00s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000050 pass=1/4 win=1/16 local=51/128 lm=3.36580 ppl~28.96 kd=4.8615 pen=9.60825e-04 lambda=5.000e-05 lr=6.962e-05 gnorm=7.000e-01 admm_rms=2.968e-04 upd_rms=1.722e-01 time=3.03s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000051 pass=1/4 win=1/16 local=52/128 lm=3.63450 ppl~37.88 kd=4.5866 pen=9.86278e-04 lambda=5.000e-05 lr=6.961e-05 gnorm=7.000e-01 admm_rms=3.007e-04 upd_rms=1.699e-01 time=3.03s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000052 pass=1/4 win=1/16 local=53/128 lm=3.39878 ppl~29.93 kd=4.3426 pen=1.01288e-03 lambda=5.000e-05 lr=6.960e-05 gnorm=7.000e-01 admm_rms=3.048e-04 upd_rms=1.701e-01 time=3.02s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000053 pass=1/4 win=1/16 local=54/128 lm=3.04953 ppl~21.11 kd=4.6394 pen=1.03973e-03 lambda=5.000e-05 lr=6.959e-05 gnorm=7.000e-01 admm_rms=3.088e-04 upd_rms=1.712e-01 time=3.04s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000054 pass=1/4 win=1/16 local=55/128 lm=3.40022 ppl~29.97 kd=4.5857 pen=1.06669e-03 lambda=5.000e-05 lr=6.958e-05 gnorm=7.000e-01 admm_rms=3.128e-04 upd_rms=1.717e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000055 pass=1/4 win=1/16 local=56/128 lm=3.49653 ppl~33.00 kd=4.8044 pen=1.09355e-03 lambda=5.000e-05 lr=6.958e-05 gnorm=7.000e-01 admm_rms=3.167e-04 upd_rms=1.709e-01 time=3.06s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000056 pass=1/4 win=1/16 local=57/128 lm=3.41805 ppl~30.51 kd=4.2798 pen=1.12113e-03 lambda=5.000e-05 lr=6.957e-05 gnorm=7.000e-01 admm_rms=3.206e-04 upd_rms=1.731e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000057 pass=1/4 win=1/16 local=58/128 lm=3.51591 ppl~33.65 kd=4.2919 pen=1.14822e-03 lambda=5.000e-05 lr=6.956e-05 gnorm=7.000e-01 admm_rms=3.245e-04 upd_rms=1.748e-01 time=3.06s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000058 pass=1/4 win=1/16 local=59/128 lm=3.32831 ppl~27.89 kd=4.4207 pen=1.17502e-03 lambda=5.000e-05 lr=6.955e-05 gnorm=7.000e-01 admm_rms=3.283e-04 upd_rms=1.760e-01 time=3.10s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000059 pass=1/4 win=1/16 local=60/128 lm=3.37964 ppl~29.36 kd=4.6572 pen=1.20176e-03 lambda=5.000e-05 lr=6.955e-05 gnorm=7.000e-01 admm_rms=3.320e-04 upd_rms=1.776e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000060 pass=1/4 win=1/16 local=61/128 lm=3.25405 ppl~25.90 kd=4.2031 pen=1.22826e-03 lambda=5.000e-05 lr=6.954e-05 gnorm=7.000e-01 admm_rms=3.356e-04 upd_rms=1.735e-01 time=3.14s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000061 pass=1/4 win=1/16 local=62/128 lm=3.25330 ppl~25.88 kd=4.1041 pen=1.25645e-03 lambda=5.000e-05 lr=6.953e-05 gnorm=7.000e-01 admm_rms=3.394e-04 upd_rms=1.730e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]
step=000062 pass=1/4 win=1/16 local=63/128 lm=3.19588 ppl~24.43 kd=4.0945 pen=1.28464e-03 lambda=5.000e-05 lr=6.952e-05 gnorm=7.000e-01 admm_rms=3.432e-04 upd_rms=1.712e-01 time=3.11s cuda=[alloc=20.02GB reserved=46.85GB max=30.56GB]
step=000063 pass=1/4 win=1/16 local=64/128 lm=3.19140 ppl~24.32 kd=4.1889 pen=1.31315e-03 lambda=5.000e-05 lr=6.952e-05 gnorm=7.000e-01 admm_rms=3.470e-04 upd_rms=1.729e-01 time=3.09s cuda=[alloc=20.02GB reserved=46.78GB max=30.56GB]

  ADMM projection update...
    [1/14] model.layers.0.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=8.2645e-04 proj=fisher
    [2/14] model.layers.0.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.0307e-03 proj=fisher
    [3/14] model.layers.0.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=6.8484e-04 proj=fisher
    [4/14] model.layers.0.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=1.6675e-03 proj=fisher
    [5/14] model.layers.0.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.2839e-03 proj=fisher
    [6/14] model.layers.0.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.3998e-03 proj=fisher
    [7/14] model.layers.0.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.1437e-03 proj=fisher
    [8/14] model.layers.1.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=9.3900e-04 proj=fisher
    [9/14] model.layers.1.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.4742e-03 proj=fisher
    [10/14] model.layers.1.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=9.7606e-04 proj=fisher
    [11/14] model.layers.1.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=2.4472e-03 proj=fisher
    [12/14] model.layers.1.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.5979e-03 proj=fisher
    [13/14] model.layers.1.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.7970e-03 proj=fisher
    [14/14] model.layers.1.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.1502e-03 proj=fisher
  projection done: sparsity=80.00% mask_drift=0.142% elapsed=41s
step=000064 pass=1/4 win=1/16 local=65/128 lm=3.31246 ppl~27.45 kd=4.7327 pen=1.29576e-03 lambda=5.000e-05 lr=6.951e-05 gnorm=7.000e-01 admm_rms=3.447e-04 upd_rms=1.717e-01 time=2.57s cuda=[alloc=20.02GB reserved=39.47GB max=30.56GB]
step=000065 pass=1/4 win=1/16 local=66/128 lm=3.10464 ppl~22.30 kd=4.3287 pen=1.32044e-03 lambda=5.000e-05 lr=6.950e-05 gnorm=7.000e-01 admm_rms=3.480e-04 upd_rms=1.730e-01 time=3.63s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000066 pass=1/4 win=1/16 local=67/128 lm=3.52130 ppl~33.83 kd=4.3456 pen=1.34588e-03 lambda=5.000e-05 lr=6.949e-05 gnorm=7.000e-01 admm_rms=3.513e-04 upd_rms=1.701e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000067 pass=1/4 win=1/16 local=68/128 lm=3.03832 ppl~20.87 kd=4.0021 pen=1.37237e-03 lambda=5.000e-05 lr=6.948e-05 gnorm=7.000e-01 admm_rms=3.547e-04 upd_rms=1.696e-01 time=3.65s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000068 pass=1/4 win=1/16 local=69/128 lm=3.15739 ppl~23.51 kd=4.2118 pen=1.39927e-03 lambda=5.000e-05 lr=6.948e-05 gnorm=7.000e-01 admm_rms=3.582e-04 upd_rms=1.673e-01 time=3.06s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000069 pass=1/4 win=1/16 local=70/128 lm=3.28207 ppl~26.63 kd=4.5933 pen=1.42727e-03 lambda=5.000e-05 lr=6.947e-05 gnorm=7.000e-01 admm_rms=3.618e-04 upd_rms=1.655e-01 time=3.66s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000070 pass=1/4 win=1/16 local=71/128 lm=3.32631 ppl~27.84 kd=4.4147 pen=1.45612e-03 lambda=5.000e-05 lr=6.946e-05 gnorm=7.000e-01 admm_rms=3.654e-04 upd_rms=1.694e-01 time=3.08s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000071 pass=1/4 win=1/16 local=72/128 lm=3.17529 ppl~23.93 kd=4.2956 pen=1.48402e-03 lambda=5.000e-05 lr=6.945e-05 gnorm=7.000e-01 admm_rms=3.689e-04 upd_rms=1.707e-01 time=3.75s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000072 pass=1/4 win=1/16 local=73/128 lm=3.23599 ppl~25.43 kd=3.9293 pen=1.51150e-03 lambda=5.000e-05 lr=6.945e-05 gnorm=7.000e-01 admm_rms=3.723e-04 upd_rms=1.695e-01 time=3.13s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000073 pass=1/4 win=1/16 local=74/128 lm=3.34949 ppl~28.49 kd=4.5088 pen=1.53936e-03 lambda=5.000e-05 lr=6.944e-05 gnorm=7.000e-01 admm_rms=3.757e-04 upd_rms=1.713e-01 time=3.69s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000074 pass=1/4 win=1/16 local=75/128 lm=3.36897 ppl~29.05 kd=4.2541 pen=1.56678e-03 lambda=5.000e-05 lr=6.943e-05 gnorm=7.000e-01 admm_rms=3.790e-04 upd_rms=1.716e-01 time=3.11s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000075 pass=1/4 win=1/16 local=76/128 lm=3.25670 ppl~25.96 kd=4.0111 pen=1.59475e-03 lambda=5.000e-05 lr=6.942e-05 gnorm=7.000e-01 admm_rms=3.824e-04 upd_rms=1.723e-01 time=3.69s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000076 pass=1/4 win=1/16 local=77/128 lm=3.10386 ppl~22.28 kd=4.1478 pen=1.62306e-03 lambda=5.000e-05 lr=6.942e-05 gnorm=7.000e-01 admm_rms=3.858e-04 upd_rms=1.729e-01 time=3.12s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000077 pass=1/4 win=1/16 local=78/128 lm=3.13103 ppl~22.90 kd=3.9621 pen=1.65145e-03 lambda=5.000e-05 lr=6.941e-05 gnorm=7.000e-01 admm_rms=3.891e-04 upd_rms=1.740e-01 time=3.71s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]
step=000078 pass=1/4 win=1/16 local=79/128 lm=3.44950 ppl~31.48 kd=4.4898 pen=1.67908e-03 lambda=5.000e-05 lr=6.940e-05 gnorm=7.000e-01 admm_rms=3.924e-04 upd_rms=1.738e-01 time=3.13s cuda=[alloc=20.02GB reserved=46.76GB max=30.56GB]
step=000079 pass=1/4 win=1/16 local=80/128 lm=3.41133 ppl~30.31 kd=4.5215 pen=1.70684e-03 lambda=5.000e-05 lr=6.939e-05 gnorm=7.000e-01 admm_rms=3.956e-04 upd_rms=1.717e-01 time=3.71s cuda=[alloc=20.02GB reserved=26.99GB max=30.56GB]

  ADMM projection update...
    [1/14] model.layers.0.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=9.0080e-04 proj=fisher
    [2/14] model.layers.0.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.1611e-03 proj=fisher
    [3/14] model.layers.0.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=7.5349e-04 proj=fisher
    [4/14] model.layers.0.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=1.8458e-03 proj=fisher
    [5/14] model.layers.0.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.4119e-03 proj=fisher
    [6/14] model.layers.0.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.5286e-03 proj=fisher
    [7/14] model.layers.0.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.3019e-03 proj=fisher
    [8/14] model.layers.1.self_attn.q_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=1.0476e-03 proj=fisher
    [9/14] model.layers.1.self_attn.k_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.5149e-03 proj=fisher
    [10/14] model.layers.1.self_attn.v_proj: kept=838,861/4,194,304 sparsity=80.00% target=80.00% u_absmax=1.0761e-03 proj=fisher
    [11/14] model.layers.1.self_attn.o_proj: kept=3,355,443/16,777,216 sparsity=80.00% target=80.00% u_absmax=2.7339e-03 proj=fisher
    [12/14] model.layers.1.mlp.gate_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.7523e-03 proj=fisher
    [13/14] model.layers.1.mlp.up_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.9437e-03 proj=fisher
    [14/14] model.layers.1.mlp.down_proj: kept=11,744,051/58,720,256 sparsity=80.00% target=80.00% u_absmax=1.3247e-03 proj=fisher
  projection done: sparsity=80.00% mask_drift=0.181% elapsed=41s
step=000080 pass=1/4 win=1/16 local=81/128 lm=3.22086 ppl~25.05 kd=4.1483 pen=1.69083e-03 lambda=5.000e-05 lr=6.938e-05 gnorm=7.000e-01 admm_rms=3.938e-04 upd_rms=1.756e-01 time=2.56s cuda=[alloc=20.02GB reserved=41.66GB max=30.56GB]
step=000081 pass=1/4 win=1/16 local=82/128 lm=3.23264 ppl~25.35 kd=4.1875 pen=1.71507e-03 lambda=5.000e-05 lr=6.938e-05 gnorm=7.000e-01 admm_rms=3.966e-04 upd_rms=1.728e-01 time=3.07s cuda=[alloc=20.02GB reserved=46.81GB max=30.56GB]
step=000082 pass=1/4 win=1/16 local=83/128 lm=2.89930 ppl~18.16 kd=3.9338 pen=1.74052e-03 lambda=5.000e-05 lr=6.937e-05 gnorm=7.000e-01 admm_rms=3.995e-04 upd_rms=1.707e-01 time=3.72s cuda=[alloc=20.02GB reserved=27.05GB max=30.56GB]
step=000083 pass=1/4 win=1/16 local=84/128 lm=3.35466 ppl~28.64 kd=4.0982 pen=1.76697e-03 lambda=5.000e-05 lr=6.936e-05 gnorm=7.000e-01 admm_rms=4.025e-04 upd_rms=1.695e-01 time=3.07s cuda=[alloc=20.02GB reserved=45.37GB max=30.56GB]
step=000084 pass=1/4 win=1/16 local=85/128 lm=3.24726 ppl~25.72 kd=4.0666 pen=1.79400e-03 lambda=5.000e-05 lr=6.935e-05 gnorm=7.000e-01 admm_rms=4.056e-04 upd_rms=1.673e-01 time=3.62s cuda=[alloc=20.02GB reserved=27.05GB max=30.56GB]
step=000085 pass=1/4 win=1/16 local=86/128 lm=3.30273 ppl~27.19 kd=4.4101 pen=1.82216e-03 lambda=5.000e-05 lr=6.935e-05 gnorm=7.000e-01 admm_rms=4.088e-04 upd_rms=1.747e-01 time=3.05s cuda=[alloc=20.02GB reserved=45.37GB max=30.56GB]
step=000086 pass=1/4 win=1/16 local=87/128 lm=3.24477 ppl~25.66 kd=4.2305 pen=1.84850e-03 lambda=5.000e-05 lr=6.934e-05 gnorm=7.000e-01 admm_rms=4.117e-04 upd_rms=1.746e-01 time=3.65s cuda=[alloc=20.02GB reserved=27.05GB max=30.56GB]
step=000087 pass=1/4 win=1/16 local=88/128 lm=2.86982 ppl~17.63 kd=3.6986 pen=1.87531e-03 lambda=5.000e-05 lr=6.933e-05 gnorm=7.000e-01 admm_rms=4.147e-04 upd_rms=1.738e-01 time=3.10s cuda=[alloc=20.02GB reserved=45.37GB max=30.56GB]
step=000088 pass=1/4 win=1/16 local=89/128 lm=3.41596 ppl~30.45 kd=3.8624 pen=1.90263e-03 lambda=5.000e-05 lr=6.932e-05 gnorm=7.000e-01 admm_rms=4.177e-04 upd_rms=1.724e-01 time=5.34s cuda=[alloc=20.02GB reserved=27.05GB max=30.56GB]
step=000089 pass=1/4 win=1/16 local=90/128 lm=2.89715 ppl~18.12 kd=3.7125 pen=1.93072e-03 lambda=5.000e-05 lr=6.932e-05 gnorm=7.000e-01 admm_rms=4.208e-04 upd_rms=1.722e-01 time=3.10s cuda=[alloc=20.02GB reserved=45.37GB max=30.56GB]
step=000090 pass=1/4 win=1/16 local=91/128 lm=3.22644 ppl~25.19 kd=4.3640 pen=1.95923e-03 lambda=5.000e-05 lr=6.931e-05 gnorm=7.000e-01 admm_rms=4.239e-04 upd_rms=1.710e-01 time=3.67s cuda=[alloc=20.02GB reserved=27.05GB max=30.56GB]
step=000091 pass=1/4 win=1/16 local=92/128 lm=3.09100 ppl~22.00 kd=4.2155 pen=1.98784e-03 lambda=5.000e-05 lr=6.930e-05 gnorm=7.000e-01 admm_rms=4.269e-04 upd_rms=1.701e-01 time=3.11s cuda=[alloc=20.02GB reserved=45.37GB max=30.56GB]
